Format,1.0B,
Memory Length,10000,
IntpDistance,0,
Trigger Address,4999,
Trigger Level,-8.000E-02,
Source,CH1,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,16,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,1.000E+00,
Vertical Position,1.200E-01,
Horizontal Units,S,
Horizontal Scale,2.000E-02,
Horizontal Position,0.000E+00,
Horizontal Mode,Main,
SincET Mode,Real Time,
Sampling Period,2.000E-05,
Horizontal Old Scale,2.000E-02,
Horizontal Old Position,0.000E+00,
Firmware,V1.23,
Mode,Detail,
Waveform Data,
-9.999999e-02,-3.60e-01,
-9.997999e-02,-3.20e-01,
-9.995999e-02,-3.20e-01,
-9.993999e-02,-3.20e-01,
-9.991999e-02,-3.20e-01,
-9.989999e-02,-3.20e-01,
-9.987999e-02,-3.20e-01,
-9.985999e-02,-3.20e-01,
-9.983999e-02,-3.20e-01,
-9.981999e-02,-3.20e-01,
-9.979999e-02,-3.20e-01,
-9.977999e-02,-3.20e-01,
-9.975999e-02,-3.20e-01,
-9.973999e-02,-3.20e-01,
-9.971999e-02,-2.80e-01,
-9.969999e-02,-2.80e-01,
-9.967999e-02,-2.80e-01,
-9.965999e-02,-2.80e-01,
-9.963999e-02,-2.80e-01,
-9.961999e-02,-2.80e-01,
-9.959999e-02,-2.80e-01,
-9.957999e-02,-2.80e-01,
-9.955999e-02,-2.80e-01,
-9.953999e-02,-2.80e-01,
-9.951999e-02,-2.80e-01,
-9.949999e-02,-2.80e-01,
-9.947999e-02,-2.80e-01,
-9.945999e-02,-2.80e-01,
-9.943999e-02,-2.80e-01,
-9.941999e-02,-2.40e-01,
-9.939999e-02,-2.80e-01,
-9.937999e-02,-2.80e-01,
-9.935999e-02,-2.40e-01,
-9.933999e-02,-2.40e-01,
-9.931999e-02,-2.40e-01,
-9.929999e-02,-2.40e-01,
-9.927999e-02,-2.40e-01,
-9.925999e-02,-2.40e-01,
-9.923999e-02,-2.40e-01,
-9.921999e-02,-2.40e-01,
-9.919999e-02,-2.40e-01,
-9.917999e-02,-2.40e-01,
-9.915999e-02,-2.40e-01,
-9.913999e-02,-2.40e-01,
-9.911999e-02,-2.40e-01,
-9.909999e-02,-2.40e-01,
-9.907999e-02,-2.40e-01,
-9.905999e-02,-2.40e-01,
-9.903999e-02,-1.60e-01,
-9.901999e-02,-1.60e-01,
-9.899999e-02,-2.40e-01,
-9.897999e-02,-2.40e-01,
-9.895999e-02,-2.40e-01,
-9.893999e-02,-1.60e-01,
-9.891999e-02,-1.60e-01,
-9.889999e-02,-1.60e-01,
-9.887999e-02,-1.60e-01,
-9.885999e-02,-1.60e-01,
-9.883999e-02,-1.60e-01,
-9.881999e-02,-2.40e-01,
-9.879999e-02,-1.60e-01,
-9.877999e-02,-1.60e-01,
-9.875999e-02,-1.60e-01,
-9.873999e-02,-1.60e-01,
-9.871999e-02,-1.60e-01,
-9.869999e-02,-1.60e-01,
-9.867999e-02,-1.60e-01,
-9.865999e-02,-1.60e-01,
-9.863999e-02,-1.60e-01,
-9.861999e-02,-1.60e-01,
-9.859999e-02,-1.60e-01,
-9.857999e-02,-1.60e-01,
-9.855999e-02,-1.60e-01,
-9.853999e-02,-1.60e-01,
-9.851999e-02,-1.20e-01,
-9.849999e-02,-1.60e-01,
-9.847999e-02,-1.60e-01,
-9.845999e-02,-1.20e-01,
-9.843999e-02,-1.20e-01,
-9.841999e-02,-1.60e-01,
-9.839999e-02,-1.20e-01,
-9.837999e-02,-1.20e-01,
-9.835999e-02,-1.60e-01,
-9.833999e-02,-1.20e-01,
-9.831999e-02,-1.20e-01,
-9.829999e-02,-1.20e-01,
-9.827999e-02,-1.20e-01,
-9.825999e-02,-1.20e-01,
-9.823999e-02,-1.20e-01,
-9.821999e-02,-1.20e-01,
-9.819999e-02,-1.20e-01,
-9.817999e-02,-1.20e-01,
-9.815999e-02,-1.20e-01,
-9.813999e-02,-1.20e-01,
-9.811999e-02,-1.20e-01,
-9.809999e-02,-1.20e-01,
-9.807999e-02,-1.20e-01,
-9.805999e-02,-1.20e-01,
-9.803999e-02,-1.20e-01,
-9.801999e-02,-1.20e-01,
-9.799999e-02,-1.20e-01,
-9.797999e-02,-1.20e-01,
-9.795999e-02,-1.20e-01,
-9.793999e-02,-1.20e-01,
-9.791999e-02,-1.20e-01,
-9.789999e-02,-1.20e-01,
-9.787999e-02,-1.20e-01,
-9.785999e-02,-1.20e-01,
-9.783999e-02,-1.20e-01,
-9.781999e-02,-1.20e-01,
-9.779999e-02,-1.20e-01,
-9.777999e-02,-1.20e-01,
-9.775999e-02,-8.00e-02,
-9.773999e-02,-1.20e-01,
-9.771999e-02,-8.00e-02,
-9.769999e-02,-1.20e-01,
-9.767999e-02,-1.20e-01,
-9.765999e-02,-1.20e-01,
-9.763999e-02,-8.00e-02,
-9.761999e-02,-1.20e-01,
-9.759999e-02,-1.20e-01,
-9.757999e-02,-8.00e-02,
-9.755999e-02,-8.00e-02,
-9.753999e-02,-8.00e-02,
-9.751999e-02,-8.00e-02,
-9.749999e-02,-8.00e-02,
-9.747999e-02,-1.20e-01,
-9.745999e-02,-8.00e-02,
-9.743999e-02,-8.00e-02,
-9.741999e-02,-8.00e-02,
-9.739999e-02,-8.00e-02,
-9.737999e-02,-1.20e-01,
-9.735999e-02,-8.00e-02,
-9.733999e-02,-8.00e-02,
-9.731999e-02,-8.00e-02,
-9.729999e-02,-8.00e-02,
-9.727999e-02,-8.00e-02,
-9.725999e-02,-8.00e-02,
-9.723999e-02,-8.00e-02,
-9.721999e-02,-8.00e-02,
-9.719999e-02,-8.00e-02,
-9.717999e-02,-8.00e-02,
-9.715999e-02,-8.00e-02,
-9.713999e-02,-8.00e-02,
-9.711999e-02,-8.00e-02,
-9.709999e-02,-8.00e-02,
-9.707999e-02,-8.00e-02,
-9.705999e-02,-8.00e-02,
-9.703999e-02,-8.00e-02,
-9.701999e-02,-8.00e-02,
-9.699999e-02,-8.00e-02,
-9.697999e-02,-8.00e-02,
-9.695999e-02,-8.00e-02,
-9.693999e-02,-8.00e-02,
-9.691999e-02,-8.00e-02,
-9.689999e-02,-8.00e-02,
-9.687999e-02,-8.00e-02,
-9.685999e-02,-8.00e-02,
-9.683999e-02,-8.00e-02,
-9.681999e-02,-8.00e-02,
-9.679999e-02,-8.00e-02,
-9.677999e-02,-8.00e-02,
-9.675999e-02,-8.00e-02,
-9.673999e-02,-8.00e-02,
-9.671999e-02,-8.00e-02,
-9.669999e-02,-8.00e-02,
-9.667999e-02,-8.00e-02,
-9.665999e-02,-8.00e-02,
-9.663999e-02,-8.00e-02,
-9.661999e-02,-8.00e-02,
-9.659999e-02,-8.00e-02,
-9.657999e-02,-8.00e-02,
-9.655999e-02,-8.00e-02,
-9.653999e-02,-8.00e-02,
-9.651999e-02,-8.00e-02,
-9.649999e-02,-8.00e-02,
-9.647999e-02,-8.00e-02,
-9.645999e-02,-8.00e-02,
-9.643999e-02,-8.00e-02,
-9.641999e-02,-8.00e-02,
-9.639999e-02,-8.00e-02,
-9.637999e-02,-8.00e-02,
-9.635999e-02,-8.00e-02,
-9.633999e-02,-8.00e-02,
-9.631999e-02,-8.00e-02,
-9.629999e-02,0.00e+00,
-9.627999e-02,-8.00e-02,
-9.625999e-02,0.00e+00,
-9.623999e-02,-8.00e-02,
-9.621999e-02,-8.00e-02,
-9.619999e-02,-8.00e-02,
-9.617999e-02,-8.00e-02,
-9.615999e-02,-8.00e-02,
-9.613999e-02,0.00e+00,
-9.611999e-02,0.00e+00,
-9.609999e-02,-8.00e-02,
-9.607999e-02,-8.00e-02,
-9.605999e-02,-8.00e-02,
-9.603999e-02,0.00e+00,
-9.601999e-02,0.00e+00,
